cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the whole dataset.
load parameters
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [>................................................................] 1/157   Step: 2m30s | Tot: 0ms | Loss: 0.391 | Acc: 87.109% (223/256)              
 [>................................................................] 2/157   Step: 1s983ms | Tot: 1s983ms | Loss: 0.414 | Acc: 86.914% (445/512)              
 [>................................................................] 3/157   Step: 981ms | Tot: 2s965ms | Loss: 0.402 | Acc: 87.240% (670/768)              
 [=>...............................................................] 4/157   Step: 1s96ms | Tot: 4s62ms | Loss: 0.390 | Acc: 87.891% (900/1024)              
 [=>...............................................................] 5/157   Step: 957ms | Tot: 5s19ms | Loss: 0.382 | Acc: 88.281% (1130/1280)              
 [==>..............................................................] 6/157   Step: 965ms | Tot: 5s985ms | Loss: 0.379 | Acc: 88.021% (1352/1536)              
 [==>..............................................................] 7/157   Step: 956ms | Tot: 6s941ms | Loss: 0.364 | Acc: 88.616% (1588/1792)              
 [==>..............................................................] 8/157   Step: 960ms | Tot: 7s902ms | Loss: 0.365 | Acc: 88.867% (1820/2048)              
 [===>.............................................................] 9/157   Step: 1s59ms | Tot: 8s961ms | Loss: 0.373 | Acc: 88.715% (2044/2304)              
 [===>.............................................................] 10/157   Step: 955ms | Tot: 9s916ms | Loss: 0.367 | Acc: 88.867% (2275/2560)              
 [====>............................................................] 11/157   Step: 962ms | Tot: 10s879ms | Loss: 0.373 | Acc: 88.743% (2499/2816)              
 [========================================>........................] 100/157   Step: 966ms | Tot: 1m38s | Loss: 0.230 | Acc: 93.535% (23945/25600)              
 [=========================================>.......................] 101/157   Step: 1s64ms | Tot: 1m39s | Loss: 0.229 | Acc: 93.576% (24195/25856)              
 [=========================================>.......................] 102/157   Step: 957ms | Tot: 1m40s | Loss: 0.228 | Acc: 93.597% (24440/26112)              
 [==========================================>......................] 103/157   Step: 959ms | Tot: 1m41s | Loss: 0.227 | Acc: 93.621% (24686/26368)              
 [==========================================>......................] 104/157   Step: 953ms | Tot: 1m42s | Loss: 0.226 | Acc: 93.656% (24935/26624)              
 [===========================================>.....................] 105/157   Step: 968ms | Tot: 1m43s | Loss: 0.226 | Acc: 93.664% (25177/26880)              
 [===========================================>.....................] 106/157   Step: 1s57ms | Tot: 1m44s | Loss: 0.225 | Acc: 93.669% (25418/27136)              
 [===========================================>.....................] 107/157   Step: 953ms | Tot: 1m45s | Loss: 0.225 | Acc: 93.695% (25665/27392)              
 [============================================>....................] 108/157   Step: 961ms | Tot: 1m46s | Loss: 0.224 | Acc: 93.710% (25909/27648)              
 [============================================>....................] 109/157   Step: 962ms | Tot: 1m47s | Loss: 0.224 | Acc: 93.718% (26151/27904)              
 [=============================================>...................] 110/157   Step: 1s89ms | Tot: 1m48s | Loss: 0.223 | Acc: 93.754% (26401/28160)              
 [=============================================>...................] 111/157   Step: 956ms | Tot: 1m49s | Loss: 0.222 | Acc: 93.782% (26649/28416)              
 [=============================================>...................] 112/157   Step: 956ms | Tot: 1m50s | Loss: 0.222 | Acc: 93.813% (26898/28672)              
 [==============================================>..................] 113/157   Step: 961ms | Tot: 1m51s | Loss: 0.221 | Acc: 93.833% (27144/28928)              
 [==============================================>..................] 114/157   Step: 958ms | Tot: 1m52s | Loss: 0.220 | Acc: 93.856% (27391/29184)              
 [===============================================>.................] 115/157   Step: 1s72ms | Tot: 1m53s | Loss: 0.220 | Acc: 93.879% (27638/29440)              
 [===============================================>.................] 116/157   Step: 954ms | Tot: 1m54s | Loss: 0.219 | Acc: 93.898% (27884/29696)              
 [================================================>................] 117/157   Step: 954ms | Tot: 1m55s | Loss: 0.219 | Acc: 93.914% (28129/29952)              
 [================================================>................] 118/157   Step: 958ms | Tot: 1m56s | Loss: 0.218 | Acc: 93.932% (28375/30208)              
 [================================================>................] 119/157   Step: 1s63ms | Tot: 1m57s | Loss: 0.218 | Acc: 93.960% (28624/30464)              
 [=================================================>...............] 120/157   Step: 960ms | Tot: 1m58s | Loss: 0.217 | Acc: 93.971% (28868/30720)              
 [=================================================>...............] 121/157   Step: 962ms | Tot: 1m59s | Loss: 0.217 | Acc: 93.973% (29109/30976)              
 [==================================================>..............] 122/157   Step: 961ms | Tot: 2m142ms | Loss: 0.217 | Acc: 93.987% (29354/31232)              
 [==================================================>..............] 123/157   Step: 957ms | Tot: 2m1s | Loss: 0.216 | Acc: 94.007% (29601/31488)              
 [==================================================>..............] 124/157   Step: 1s62ms | Tot: 2m2s | Loss: 0.216 | Acc: 94.027% (29848/31744)              
 [===================================================>.............] 125/157   Step: 971ms | Tot: 2m3s | Loss: 0.215 | Acc: 94.041% (30093/32000)              
 [===================================================>.............] 126/157   Step: 952ms | Tot: 2m4s | Loss: 0.215 | Acc: 94.072% (30344/32256)              
 [====================================================>............] 127/157   Step: 954ms | Tot: 2m5s | Loss: 0.214 | Acc: 94.088% (30590/32512)              
 [====================================================>............] 128/157   Step: 960ms | Tot: 2m6s | Loss: 0.214 | Acc: 94.110% (30838/32768)              
 [====================================================>............] 129/157   Step: 1s61ms | Tot: 2m7s | Loss: 0.213 | Acc: 94.129% (31085/33024)              
 [=====================================================>...........] 130/157   Step: 961ms | Tot: 2m8s | Loss: 0.213 | Acc: 94.132% (31327/33280)              
 [=====================================================>...........] 131/157   Step: 961ms | Tot: 2m8s | Loss: 0.212 | Acc: 94.153% (31575/33536)              
 [======================================================>..........] 132/157   Step: 958ms | Tot: 2m9s | Loss: 0.211 | Acc: 94.170% (31822/33792)              
 [======================================================>..........] 133/157   Step: 1s65ms | Tot: 2m11s | Loss: 0.211 | Acc: 94.196% (32072/34048)              
 [=======================================================>.........] 134/157   Step: 958ms | Tot: 2m11s | Loss: 0.210 | Acc: 94.211% (32318/34304)              
 [=======================================================>.........] 135/157   Step: 966ms | Tot: 2m12s | Loss: 0.210 | Acc: 94.222% (32563/34560)              
 [=======================================================>.........] 136/157   Step: 956ms | Tot: 2m13s | Loss: 0.210 | Acc: 94.233% (32808/34816)              
 [========================================================>........] 137/157   Step: 953ms | Tot: 2m14s | Loss: 0.209 | Acc: 94.243% (33053/35072)              
 [========================================================>........] 138/157   Step: 1s60ms | Tot: 2m15s | Loss: 0.209 | Acc: 94.251% (33297/35328)              
 [=========================================================>.......] 139/157   Step: 957ms | Tot: 2m16s | Loss: 0.208 | Acc: 94.273% (33546/35584)              
 [=========================================================>.......] 140/157   Step: 962ms | Tot: 2m17s | Loss: 0.208 | Acc: 94.286% (33792/35840)              
 [=========================================================>.......] 141/157   Step: 957ms | Tot: 2m18s | Loss: 0.207 | Acc: 94.296% (34037/36096)              
 [==========================================================>......] 142/157   Step: 951ms | Tot: 2m19s | Loss: 0.207 | Acc: 94.308% (34283/36352)              
 [==========================================================>......] 143/157   Step: 1s60ms | Tot: 2m20s | Loss: 0.206 | Acc: 94.340% (34536/36608)              
 [===========================================================>.....] 144/157   Step: 960ms | Tot: 2m21s | Loss: 0.206 | Acc: 94.350% (34781/36864)              
 [===========================================================>.....] 145/157   Step: 964ms | Tot: 2m22s | Loss: 0.205 | Acc: 94.364% (35028/37120)              
 [============================================================>....] 146/157   Step: 956ms | Tot: 2m23s | Loss: 0.205 | Acc: 94.387% (35278/37376)              
 [============================================================>....] 147/157   Step: 1s59ms | Tot: 2m24s | Loss: 0.204 | Acc: 94.401% (35525/37632)              
 [============================================================>....] 148/157   Step: 955ms | Tot: 2m25s | Loss: 0.203 | Acc: 94.426% (35776/37888)              
 [=============================================================>...] 149/157   Step: 959ms | Tot: 2m26s | Loss: 0.203 | Acc: 94.439% (36023/38144)              
 [=============================================================>...] 150/157   Step: 961ms | Tot: 2m27s | Loss: 0.203 | Acc: 94.443% (36266/38400)              
 [==============================================================>..] 151/157   Step: 962ms | Tot: 2m28s | Loss: 0.202 | Acc: 94.448% (36510/38656)              
 [==============================================================>..] 152/157   Step: 1s57ms | Tot: 2m29s | Loss: 0.202 | Acc: 94.462% (36757/38912)              
 [==============================================================>..] 153/157   Step: 879ms | Tot: 2m30s | Loss: 0.202 | Acc: 94.455% (36996/39168)              
 [===============================================================>.] 154/157   Step: 847ms | Tot: 2m31s | Loss: 0.201 | Acc: 94.481% (37248/39424)              
 [===============================================================>.] 155/157   Step: 845ms | Tot: 2m32s | Loss: 0.201 | Acc: 94.483% (37491/39680)              
 [================================================================>] 156/157   Step: 968ms | Tot: 2m33s | Loss: 0.200 | Acc: 94.496% (37738/39936)              
 [================================================================>] 157/157   Step: 7s796ms | Tot: 2m40s | Loss: 0.200 | Acc: 94.485% (37794/40000)
 [>................................................................] 1/40   Step: 1s128ms | Tot: 0ms | Loss: 0.733 | Acc: 77.734% (199/256)              
 [=>...............................................................] 2/40   Step: 432ms | Tot: 432ms | Loss: 0.712 | Acc: 79.102% (405/512)              
 [===>.............................................................] 3/40   Step: 431ms | Tot: 864ms | Loss: 0.782 | Acc: 78.516% (603/768)              
 [====>............................................................] 4/40   Step: 426ms | Tot: 1s290ms | Loss: 0.800 | Acc: 78.418% (803/1024)              
 [======>..........................................................] 5/40   Step: 422ms | Tot: 1s713ms | Loss: 0.810 | Acc: 77.734% (995/1280)              
 [========>........................................................] 6/40   Step: 576ms | Tot: 2s290ms | Loss: 0.808 | Acc: 77.930% (1197/1536)              
