cifar10 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 3
Train with the pop selected dataset.
load parameters
Now try to run the algorithm POP
------------------ Start to select subsets ------------------
Selected 9674 samples for weakkness <= 7.
Train with the selected 9674 samples.
Use multiple GPU to train the network.
Use 100 epochs

Epoch: 0
 [==========================================>......................] 26/38   Step: 958ms | Tot: 24s789ms | Loss: 0.002 | Acc: 100.000% (6656/6656)              
 [============================================>....................] 27/38   Step: 972ms | Tot: 25s761ms | Loss: 0.002 | Acc: 100.000% (6912/6912)              
 [==============================================>..................] 28/38   Step: 1s67ms | Tot: 26s828ms | Loss: 0.002 | Acc: 100.000% (7168/7168)              
 [===============================================>.................] 29/38   Step: 961ms | Tot: 27s790ms | Loss: 0.002 | Acc: 100.000% (7424/7424)              
 [=================================================>...............] 30/38   Step: 965ms | Tot: 28s756ms | Loss: 0.002 | Acc: 100.000% (7680/7680)              
 [===================================================>.............] 31/38   Step: 965ms | Tot: 29s721ms | Loss: 0.002 | Acc: 100.000% (7936/7936)              
 [=====================================================>...........] 32/38   Step: 1s82ms | Tot: 30s804ms | Loss: 0.002 | Acc: 100.000% (8192/8192)              
 [======================================================>..........] 33/38   Step: 958ms | Tot: 31s762ms | Loss: 0.002 | Acc: 100.000% (8448/8448)              
 [========================================================>........] 34/38   Step: 942ms | Tot: 32s704ms | Loss: 0.002 | Acc: 100.000% (8704/8704)              
 [==========================================================>......] 35/38   Step: 849ms | Tot: 33s553ms | Loss: 0.002 | Acc: 100.000% (8960/8960)              
 [===========================================================>.....] 36/38   Step: 850ms | Tot: 34s404ms | Loss: 0.002 | Acc: 100.000% (9216/9216)              
 [=============================================================>...] 37/38   Step: 959ms | Tot: 35s364ms | Loss: 0.002 | Acc: 100.000% (9472/9472)              
 [===============================================================>.] 38/38   Step: 857ms | Tot: 36s221ms | Loss: 0.002 | Acc: 100.000% (9674/9674)
 [>................................................................] 1/40   Step: 1s156ms | Tot: 0ms | Loss: 0.411 | Acc: 88.672% (227/256)              
 [=>...............................................................] 2/40   Step: 420ms | Tot: 420ms | Loss: 0.485 | Acc: 88.086% (451/512)              
 [===>.............................................................] 3/40   Step: 419ms | Tot: 840ms | Loss: 0.477 | Acc: 88.151% (677/768)              
 [====>............................................................] 4/40   Step: 416ms | Tot: 1s256ms | Loss: 0.459 | Acc: 88.184% (903/1024)              
 [======>..........................................................] 5/40   Step: 576ms | Tot: 1s832ms | Loss: 0.449 | Acc: 88.359% (1131/1280)              
 [========>........................................................] 6/40   Step: 416ms | Tot: 2s249ms | Loss: 0.454 | Acc: 88.346% (1357/1536)              
 [=========>.......................................................] 7/40   Step: 419ms | Tot: 2s669ms | Loss: 0.450 | Acc: 88.616% (1588/1792)              
 [===========>.....................................................] 8/40   Step: 427ms | Tot: 3s97ms | Loss: 0.439 | Acc: 88.916% (1821/2048)              
 [=============>...................................................] 9/40   Step: 419ms | Tot: 3s517ms | Loss: 0.437 | Acc: 88.889% (2048/2304)              
 [==============>..................................................] 10/40   Step: 518ms | Tot: 4s35ms | Loss: 0.421 | Acc: 89.219% (2284/2560)              
 [================>................................................] 11/40   Step: 413ms | Tot: 4s448ms | Loss: 0.417 | Acc: 89.276% (2514/2816)              
 [=================>...............................................] 12/40   Step: 414ms | Tot: 4s863ms | Loss: 0.431 | Acc: 89.030% (2735/3072)              
 [===================>.............................................] 13/40   Step: 415ms | Tot: 5s279ms | Loss: 0.426 | Acc: 89.183% (2968/3328)              
 [=====================>...........................................] 14/40   Step: 414ms | Tot: 5s693ms | Loss: 0.417 | Acc: 89.342% (3202/3584)              
 [======================>..........................................] 15/40   Step: 413ms | Tot: 6s107ms | Loss: 0.423 | Acc: 89.349% (3431/3840)              
